game_id,date,time,stadium,home_team,away_team,result
001,13/04/2024,18:30,José Pinheiro Borda / Porto Alegre,Internacional / RS,Bahia / BA,2 X 1
002,14/04/2024,17:00,Magalhães Pinto / Belo Horizonte,Cruzeiro Saf / MG,Botafogo / RJ,3 X 2
003,14/04/2024,18:30,Manoel Barradas / Salvador,Vitória / BA,Palmeiras / SP,0 X 1
004,13/04/2024,21:00,Jornalista Mário Filho / Rio de Janeiro,Fluminense / RJ,Red Bull Bragantino / SP,2 X 2
005,14/04/2024,16:00,São Januário / Rio de Janeiro,Vasco da Gama S.a.f. / RJ,Grêmio / RS,2 X 1
006,14/04/2024,16:00,Arena Corinthians / Sao Paulo,Corinthians / SP,Atlético Mineiro Saf / MG,0 X 0
007,13/04/2024,21:00,Cícero Pompeu de Toledo / Sao Paulo,São Paulo / SP,Fortaleza / CE,1 X 2
008,14/04/2024,16:00,Ligga Arena / Curitiba,Athletico Paranaense / PR,Cuiabá Saf / MT,4 X 0
009,14/04/2024,16:00,Serra Dourada / Goiania,Atlético / GO,Flamengo / RJ,1 X 2
010,13/04/2024,18:30,Heriberto Hulse / Criciuma,Criciúma / SC,Juventude / RS,1 X 1
011,17/04/2024,19:00,Arena do Grêmio / Porto Alegre,Grêmio / RS,Athletico Paranaense / PR,2 X 0
012,17/04/2024,20:00,ARENA MRV / Belo Horizonte,Atlético Mineiro Saf / MG,Criciúma / SC,1 X 1
013,16/04/2024,21:30,Octávio Mangabeira / Salvador,Bahia / BA,Fluminense / RJ,2 X 1
014,17/04/2024,21:30,Jornalista Mário Filho / Rio de Janeiro,Flamengo / RJ,São Paulo / SP,2 X 1
015,18/04/2024,21:30,Nilton Santos / Rio de Janeiro,Botafogo / RJ,Atlético / GO,1 X 0
016,17/04/2024,20:00,Arena Barueri / Barueri,Palmeiras / SP,Internacional / RS,0 X 1
017,17/04/2024,19:00,Nabi Abi Chedid / Braganca Paulista,Red Bull Bragantino / SP,Vasco da Gama S.a.f. / RJ,2 X 1
018,17/04/2024,20:00,Governador Plácido Aderaldo Castelo / Fortaleza,Fortaleza / CE,Cruzeiro Saf / MG,1 X 1
019,05/06/2024,20:00,Arena Pantanal / Cuiaba,Cuiabá Saf / MT,Vitória / BA,0 X 0
020,17/04/2024,20:00,Alfredo Jaconi / Caxias do Sul,Juventude / RS,Corinthians / SP,2 X 0
021,20/04/2024,18:30,Arena do Grêmio / Porto Alegre,Grêmio / RS,Cuiabá Saf / MT,1 X 0
022,20/04/2024,21:00,ARENA MRV / Belo Horizonte,Atlético Mineiro Saf / MG,Cruzeiro Saf / MG,3 X 0
023,21/04/2024,16:00,Manoel Barradas / Salvador,Vitória / BA,Bahia / BA,2 X 2
024,20/04/2024,16:00,Jornalista Mário Filho / Rio de Janeiro,Fluminense / RJ,Vasco da Gama S.a.f. / RJ,2 X 1
025,21/04/2024,18:30,Nilton Santos / Rio de Janeiro,Botafogo / RJ,Juventude / RS,5 X 1
026,21/04/2024,16:00,Allianz Parque / Sao Paulo,Palmeiras / SP,Flamengo / RJ,0 X 0
027,20/04/2024,18:30,Nabi Abi Chedid / Braganca Paulista,Red Bull Bragantino / SP,Corinthians / SP,1 X 0
028,21/04/2024,16:00,Ligga Arena / Curitiba,Athletico Paranaense / PR,Internacional / RS,1 X 0
029,21/04/2024,18:30,Antônio Accioly / Goiania,Atlético / GO,São Paulo / SP,0 X 3
030,24/07/2024,19:00,Heriberto Hulse / Criciuma,Criciúma / SC,Fortaleza / CE,1 X 1
031,28/04/2024,20:00,José Pinheiro Borda / Porto Alegre,Internacional / RS,Atlético / GO,1 X 1
032,28/04/2024,16:00,Magalhães Pinto / Belo Horizonte,Cruzeiro Saf / MG,Vitória / BA,3 X 1
033,27/04/2024,21:00,Octávio Mangabeira / Salvador,Bahia / BA,Grêmio / RS,1 X 0
034,28/04/2024,11:00,Jornalista Mário Filho / Rio de Janeiro,Flamengo / RJ,Botafogo / RJ,0 X 2
035,27/04/2024,16:00,São Januário / Rio de Janeiro,Vasco da Gama S.a.f. / RJ,Criciúma / SC,0 X 4
036,28/04/2024,16:00,Arena Corinthians / Sao Paulo,Corinthians / SP,Fluminense / RJ,3 X 0
037,29/04/2024,20:00,Cícero Pompeu de Toledo / Sao Paulo,São Paulo / SP,Palmeiras / SP,0 X 0
038,28/04/2024,18:30,Governador Plácido Aderaldo Castelo / Fortaleza,Fortaleza / CE,Red Bull Bragantino / SP,1 X 1
039,27/04/2024,18:30,Arena Pantanal / Cuiaba,Cuiabá Saf / MT,Atlético Mineiro Saf / MG,0 X 3
040,28/04/2024,18:30,Alfredo Jaconi / Caxias do Sul,Juventude / RS,Athletico Paranaense / PR,1 X 1
041,25/09/2024,19:00,Arena do Grêmio / Porto Alegre,Grêmio / RS,Criciúma / SC,1 X 2
042,28/08/2024,19:30,Magalhães Pinto / Belo Horizonte,Cruzeiro Saf / MG,Internacional / RS,0 X 0
043,05/05/2024,16:00,Manoel Barradas / Salvador,Vitória / BA,São Paulo / SP,1 X 3
044,04/05/2024,16:00,Kleber José de Andrade / Cariacica,Fluminense / RJ,Atlético Mineiro Saf / MG,2 X 2
045,05/05/2024,18:30,Nilton Santos / Rio de Janeiro,Botafogo / RJ,Bahia / BA,1 X 2
046,04/05/2024,21:00,Arena Corinthians / Sao Paulo,Corinthians / SP,Fortaleza / CE,0 X 0
047,04/05/2024,18:30,Nabi Abi Chedid / Braganca Paulista,Red Bull Bragantino / SP,Flamengo / RJ,1 X 1
048,05/05/2024,16:00,Ligga Arena / Curitiba,Athletico Paranaense / PR,Vasco da Gama S.a.f. / RJ,1 X 0
049,05/05/2024,18:30,Arena Pantanal / Cuiaba,Cuiabá Saf / MT,Palmeiras / SP,0 X 2
050,05/06/2024,19:00,Alfredo Jaconi / Caxias do Sul,Juventude / RS,Atlético / GO,1 X 0
051,14/08/2024,19:30,José Pinheiro Borda / Porto Alegre,Internacional / RS,Juventude / RS,2 X 1
052,09/10/2024,19:30,ARENA MRV / Belo Horizonte,Atlético Mineiro Saf / MG,Grêmio / RS,2 X 1
053,12/05/2024,18:30,Octávio Mangabeira / Salvador,Bahia / BA,Red Bull Bragantino / SP,1 X 0
054,11/05/2024,16:00,Jornalista Mário Filho / Rio de Janeiro,Flamengo / RJ,Corinthians / SP,2 X 0
055,12/05/2024,18:30,São Januário / Rio de Janeiro,Vasco da Gama S.a.f. / RJ,Vitória / BA,2 X 1
056,12/05/2024,16:00,Arena Barueri / Barueri,Palmeiras / SP,Athletico Paranaense / PR,0 X 2
057,13/05/2024,20:00,Cícero Pompeu de Toledo / Sao Paulo,São Paulo / SP,Fluminense / RJ,2 X 1
058,12/05/2024,16:00,Governador Plácido Aderaldo Castelo / Fortaleza,Fortaleza / CE,Botafogo / RJ,1 X 1
059,12/05/2024,16:00,Antônio Accioly / Goiania,Atlético / GO,Cruzeiro Saf / MG,0 X 1
060,09/06/2024,16:00,Heriberto Hulse / Criciuma,Criciúma / SC,Cuiabá Saf / MT,2 X 5
061,01/06/2024,16:00,Major Antônio Couto Pereira / Curitiba,Grêmio / RS,Red Bull Bragantino / SP,0 X 2
062,02/06/2024,16:00,ARENA MRV / Belo Horizonte,Atlético Mineiro Saf / MG,Bahia / BA,1 X 1
063,01/06/2024,16:00,Manoel Barradas / Salvador,Vitória / BA,Atlético / GO,0 X 2
064,01/06/2024,18:30,Jornalista Mário Filho / Rio de Janeiro,Fluminense / RJ,Juventude / RS,1 X 1
065,02/06/2024,16:00,Jornalista Mário Filho / Rio de Janeiro,Vasco da Gama S.a.f. / RJ,Flamengo / RJ,1 X 6
066,01/06/2024,21:00,Arena Corinthians / Sao Paulo,Corinthians / SP,Botafogo / RJ,0 X 1
067,02/06/2024,18:30,Cícero Pompeu de Toledo / Sao Paulo,São Paulo / SP,Cruzeiro Saf / MG,2 X 0
068,02/06/2024,18:30,Presidente Vargas / Fortaleza,Fortaleza / CE,Athletico Paranaense / PR,1 X 0
069,01/06/2024,18:30,Arena Pantanal / Cuiaba,Cuiabá Saf / MT,Internacional / RS,0 X 1
070,02/06/2024,16:00,Heriberto Hulse / Criciuma,Criciúma / SC,Palmeiras / SP,1 X 2
071,13/06/2024,20:00,Heriberto Hulse / Criciuma,Internacional / RS,São Paulo / SP,0 X 0
072,13/06/2024,19:00,Magalhães Pinto / Belo Horizonte,Cruzeiro Saf / MG,Cuiabá Saf / MT,2 X 1
073,13/06/2024,21:30,Octávio Mangabeira / Salvador,Bahia / BA,Fortaleza / CE,1 X 0
074,13/06/2024,20:00,Jornalista Mário Filho / Rio de Janeiro,Flamengo / RJ,Grêmio / RS,2 X 1
075,11/06/2024,20:00,Nilton Santos / Rio de Janeiro,Botafogo / RJ,Fluminense / RJ,1 X 0
076,13/06/2024,21:30,Allianz Parque / Sao Paulo,Palmeiras / SP,Vasco da Gama S.a.f. / RJ,2 X 0
