game_id,date,time,stadium,home_team,away_team,result
304,11/10/2024,18:30,Dr. Jorge Ismael de Biasi / Novo Horizonte,Gremio Novorizontino - Saf / SP,Sport / PE,1 X 3
305,12/10/2024,18:30,Urbano Caldeira / Santos,Santos / SP,Mirassol / SP,3 X 2
306,11/10/2024,21:00,Aderbal Ramos da Silva / Florianopolis,Avaí / SC,America Saf / MG,2 X 2
307,14/10/2024,18:30,Augusto Bauer / Brusque,Brusque / SC,Ituano / SP,1 X 0
308,13/10/2024,16:00,Major Antônio Couto Pereira / Curitiba,Coritiba S.a.f. / PR,Amazonas Fc / AM,3 X 1
309,09/10/2024,21:00,Leônidas Sobré de Castro / Belem,Paysandu / PA,Chapecoense / SC,2 X 0
310,12/10/2024,17:00,Governador Plácido Aderaldo Castelo / Fortaleza,Ceará / CE,Ponte Preta / SP,1 X 0
311,19/10/2024,16:00,Onésio Brasileiro Alvarenga / Goiania,Vila Nova / GO,Coritiba S.a.f. / PR,0 X 3
312,20/10/2024,18:30,Moisés Lucarelli / Campinas,Ponte Preta / SP,Guarani / SP,0 X 1
313,19/10/2024,17:00,José Maria de Campos Maia / Mirassol,Mirassol / SP,Gremio Novorizontino - Saf / SP,1 X 0
314,19/10/2024,17:00,Novelli Junior / Itu,Ituano / SP,Ceará / CE,1 X 2
315,17/10/2024,20:00,Raimundo Sampaio / Belo Horizonte,America Saf / MG,Goiás / GO,2 X 2
316,16/10/2024,20:00,Índio Condá / Chapeco,Chapecoense / SC,Santos / SP,3 X 2
317,18/10/2024,19:00,Augusto Bauer / Brusque,Brusque / SC,Crb / AL,1 X 2
318,20/10/2024,11:00,Germano Kruger / Ponta Grossa,Operário / PR,Paysandu / PA,1 X 1
319,18/10/2024,21:30,Arena da Amazônia / Manaus,Amazonas Fc / AM,Avaí / SC,2 X 1
320,20/10/2024,19:30,Adelmar da Costa Carvalho / Recife,Sport / PE,Botafogo / SP,3 X 1
321,22/10/2024,21:30,Onésio Brasileiro Alvarenga / Goiania,Vila Nova / GO,Amazonas Fc / AM,1 X 0
322,23/10/2024,19:00,Moisés Lucarelli / Campinas,Ponte Preta / SP,Brusque / SC,2 X 0
323,23/10/2024,20:00,Santa Cruz / Ribeirao Preto,Botafogo / SP,Ituano / SP,0 X 1
324,22/10/2024,21:30,Dr. Jorge Ismael de Biasi / Novo Horizonte,Gremio Novorizontino - Saf / SP,Avaí / SC,2 X 0
325,22/10/2024,19:00,Urbano Caldeira / Santos,Santos / SP,Ceará / CE,1 X 0
326,21/10/2024,20:00,Índio Condá / Chapeco,Chapecoense / SC,Goiás / GO,0 X 4
327,22/10/2024,19:00,Rei Pelé / Maceio,Crb / AL,Mirassol / SP,0 X 1
328,23/10/2024,21:30,Germano Kruger / Ponta Grossa,Operário / PR,America Saf / MG,1 X 0
329,23/10/2024,19:30,Leônidas Sobré de Castro / Belem,Paysandu / PA,Coritiba S.a.f. / PR,2 X 1
330,24/10/2024,21:30,Adelmar da Costa Carvalho / Recife,Sport / PE,Guarani / SP,4 X 0
331,29/10/2024,19:00,Hailé Pinheiro / Goiania,Goiás / GO,Operário / PR,3 X 0
332,29/10/2024,21:30,Brinco de Ouro da Princesa / Campinas,Guarani / SP,Gremio Novorizontino - Saf / SP,0 X 2
333,26/10/2024,17:00,José Maria de Campos Maia / Mirassol,Mirassol / SP,Ponte Preta / SP,3 X 0
334,28/10/2024,19:00,Novelli Junior / Itu,Ituano / SP,Santos / SP,0 X 2
335,28/10/2024,21:00,Raimundo Sampaio / Belo Horizonte,America Saf / MG,Sport / PE,2 X 1
336,25/10/2024,21:30,Aderbal Ramos da Silva / Florianopolis,Avaí / SC,Vila Nova / GO,3 X 0
337,29/10/2024,19:00,Augusto Bauer / Brusque,Brusque / SC,Chapecoense / SC,0 X 1
338,28/10/2024,18:00,Major Antônio Couto Pereira / Curitiba,Coritiba S.a.f. / PR,Crb / AL,2 X 1
339,29/10/2024,21:30,Arena da Amazônia / Manaus,Amazonas Fc / AM,Botafogo / SP,0 X 1
340,26/10/2024,17:00,Governador Plácido Aderaldo Castelo / Fortaleza,Ceará / CE,Paysandu / PA,2 X 1
341,02/11/2024,17:00,Hailé Pinheiro / Goiania,Goiás / GO,Guarani / SP,1 X 0
342,04/11/2024,21:00,Moisés Lucarelli / Campinas,Ponte Preta / SP,Paysandu / PA,1 X 2
343,05/11/2024,21:30,José Maria de Campos Maia / Mirassol,Mirassol / SP,Coritiba S.a.f. / PR,4 X 1
344,04/11/2024,21:15,Novelli Junior / Itu,Ituano / SP,Crb / AL,1 X 2
345,02/11/2024,16:30,Urbano Caldeira / Santos,Santos / SP,Vila Nova / GO,3 X 0
346,02/11/2024,17:00,Índio Condá / Chapeco,Chapecoense / SC,Gremio Novorizontino - Saf / SP,0 X 2
347,05/11/2024,21:00,Augusto Bauer / Brusque,Brusque / SC,Botafogo / SP,0 X 1
348,04/11/2024,19:00,Germano Kruger / Ponta Grossa,Operário / PR,Sport / PE,2 X 1
349,05/11/2024,19:00,Arena da Amazônia / Manaus,Amazonas Fc / AM,America Saf / MG,1 X 0
350,03/11/2024,18:30,Governador Plácido Aderaldo Castelo / Fortaleza,Ceará / CE,Avaí / SC,2 X 0
351,11/11/2024,18:30,Onésio Brasileiro Alvarenga / Goiania,Vila Nova / GO,Ponte Preta / SP,2 X 1
352,12/11/2024,21:00,Brinco de Ouro da Princesa / Campinas,Guarani / SP,Amazonas Fc / AM,0 X 0
353,12/11/2024,21:30,Santa Cruz / Ribeirao Preto,Botafogo / SP,Ceará / CE,1 X 4
354,09/11/2024,17:00,Dr. Jorge Ismael de Biasi / Novo Horizonte,Gremio Novorizontino - Saf / SP,Operário / PR,0 X 1
355,12/11/2024,19:00,Raimundo Sampaio / Belo Horizonte,America Saf / MG,Ituano / SP,3 X 2
356,10/11/2024,19:00,Aderbal Ramos da Silva / Florianopolis,Avaí / SC,Mirassol / SP,0 X 0
357,09/11/2024,17:00,Rei Pelé / Maceio,Crb / AL,Goiás / GO,0 X 1
358,11/11/2024,21:00,Major Antônio Couto Pereira / Curitiba,Coritiba S.a.f. / PR,Santos / SP,0 X 2
359,11/11/2024,21:00,Leônidas Sobré de Castro / Belem,Paysandu / PA,Brusque / SC,1 X 0
360,10/11/2024,18:30,Adelmar da Costa Carvalho / Recife,Sport / PE,Chapecoense / SC,1 X 1
361,16/11/2024,21:00,Onésio Brasileiro Alvarenga / Goiania,Vila Nova / GO,Ituano / SP,3 X 4
362,16/11/2024,21:30,Moisés Lucarelli / Campinas,Ponte Preta / SP,Sport / PE,0 X 4
363,18/11/2024,21:00,Santa Cruz / Ribeirao Preto,Botafogo / SP,Avaí / SC,1 X 3
364,16/11/2024,17:00,Dr. Jorge Ismael de Biasi / Novo Horizonte,Gremio Novorizontino - Saf / SP,Paysandu / PA,1 X 1
365,17/11/2024,16:00,Urbano Caldeira / Santos,Santos / SP,Crb / AL,0 X 2
366,17/11/2024,16:00,Índio Condá / Chapeco,Chapecoense / SC,Coritiba S.a.f. / PR,2 X 1
367,17/11/2024,11:00,Augusto Bauer / Brusque,Brusque / SC,Guarani / SP,2 X 1
368,15/11/2024,16:00,Germano Kruger / Ponta Grossa,Operário / PR,Mirassol / SP,1 X 1
