game_id,date,time,stadium,home_team,away_team,result
001,08/08/2020,19:00,Magalhães Pinto / Belo Horizonte,Cruzeiro / MG,Botafogo / SP,2 X 1
002,08/08/2020,19:00,Aderbal Ramos da Silva / Florianopolis,Avaí / SC,Náutico / PE,3 X 1
003,08/08/2020,21:00,Rei Pelé / Maceio,Csa / AL,Guarani / SP,1 X 0
004,08/08/2020,21:00,Oswaldo Teixeira Duarte / Sao Paulo,Ponte Preta / SP,America / MG,0 X 1
005,09/08/2020,11:00,Arena Barueri / Barueri,Oeste / SP,Chapecoense / SC,0 X 0
006,08/08/2020,16:00,Germano Kruger / Ponta Grossa,Operário / PR,Figueirense / SC,3 X 1
007,08/08/2020,11:00,Alfredo Jaconi / Caxias do Sul,Juventude / RS,Crb / AL,2 X 1
008,08/08/2020,19:00,Manoel Barradas / Salvador,Vitória / BA,Sampaio Correa / MA,1 X 0
009,07/08/2020,21:30,Lourival Baptista / Aracaju,Confiança / SE,Paraná / PR,2 X 2
010,07/08/2020,19:15,Arena Pantanal / Cuiaba,Cuiabá / MT,Brasil / RS,0 X 0
011,11/08/2020,21:30,Raimundo Sampaio / Belo Horizonte,America / MG,Cuiabá / MT,0 X 1
012,11/08/2020,21:30,Orlando Scarpelli / Florianopolis,Figueirense / SC,Vitória / BA,0 X 0
013,12/08/2020,17:00,Rei Pelé / Maceio,Crb / AL,Oeste / SP,1 X 0
014,11/08/2020,20:30,Brinco de Ouro da Princesa / Campinas,Guarani / SP,Cruzeiro / MG,2 X 3
015,11/08/2020,19:15,Santa Cruz / Ribeirao Preto,Botafogo / SP,Confiança / SE,2 X 0
016,11/08/2020,20:30,Durival Britto e Silva / Curitiba,Paraná / PR,Avaí / SC,1 X 0
017,11/08/2020,19:15,Bento da Silva Freitas / Pelotas,Brasil / RS,Ponte Preta / SP,1 X 1
018,11/08/2020,21:30,Eládio de Barros Carvalho / Recife,Náutico / PE,Operário / PR,0 X 0
019,11/08/2020,19:15,Governador João Castelo / Sao Luis,Sampaio Correa / MA,Juventude / RS,0 X 1
020,27/10/2020,19:00,Índio Condá / Chapeco,Chapecoense / SC,Csa / AL,0 X 0
021,14/08/2020,19:15,Raimundo Sampaio / Belo Horizonte,America / MG,Operário / PR,1 X 1
022,16/08/2020,16:00,Orlando Scarpelli / Florianopolis,Figueirense / SC,Cruzeiro / MG,0 X 1
023,16/09/2020,19:15,Rei Pelé / Maceio,Csa / AL,Cuiabá / MT,1 X 2
024,14/08/2020,20:30,Moisés Lucarelli / Campinas,Ponte Preta / SP,Vitória / BA,3 X 3
025,15/08/2020,11:00,Santa Cruz / Ribeirao Preto,Botafogo / SP,Guarani / SP,0 X 1
026,14/08/2020,21:30,Durival Britto e Silva / Curitiba,Paraná / PR,Juventude / RS,3 X 1
027,15/08/2020,16:30,Bento da Silva Freitas / Pelotas,Brasil / RS,Oeste / SP,1 X 1
028,15/08/2020,19:00,Eládio de Barros Carvalho / Recife,Náutico / PE,Crb / AL,1 X 1
029,15/09/2020,19:15,Lourival Baptista / Aracaju,Confiança / SE,Avaí / SC,2 X 2
030,16/08/2020,11:00,Índio Condá / Chapeco,Chapecoense / SC,Sampaio Correa / MA,1 X 0
031,20/08/2020,21:00,Magalhães Pinto / Belo Horizonte,Cruzeiro / MG,Chapecoense / SC,0 X 1
032,18/08/2020,19:15,Aderbal Ramos da Silva / Florianopolis,Avaí / SC,Botafogo / SP,0 X 1
033,18/08/2020,21:30,Rei Pelé / Maceio,Crb / AL,Brasil / RS,1 X 0
034,18/08/2020,21:30,Brinco de Ouro da Princesa / Campinas,Guarani / SP,Paraná / PR,1 X 2
035,18/08/2020,20:30,Oswaldo Teixeira Duarte / Sao Paulo,Oeste / SP,Ponte Preta / SP,1 X 3
036,18/08/2020,19:15,Germano Kruger / Ponta Grossa,Operário / PR,Csa / AL,3 X 0
037,17/08/2020,20:00,Alfredo Jaconi / Caxias do Sul,Juventude / RS,America / MG,0 X 0
038,19/08/2020,21:30,Manoel Barradas / Salvador,Vitória / BA,Náutico / PE,0 X 0
039,14/10/2020,16:00,Governador João Castelo / Sao Luis,Sampaio Correa / MA,Figueirense / SC,3 X 0
040,18/08/2020,21:30,Arena Pantanal / Cuiaba,Cuiabá / MT,Confiança / SE,1 X 0
041,21/08/2020,19:15,Raimundo Sampaio / Belo Horizonte,America / MG,Oeste / SP,2 X 1
042,22/08/2020,11:00,Aderbal Ramos da Silva / Florianopolis,Avaí / SC,Cuiabá / MT,0 X 2
043,22/08/2020,19:00,Rei Pelé / Maceio,Crb / AL,Vitória / BA,2 X 2
044,21/08/2020,21:30,Moisés Lucarelli / Campinas,Ponte Preta / SP,Csa / AL,2 X 1
045,22/08/2020,16:30,Santa Cruz / Ribeirao Preto,Botafogo / SP,Figueirense / SC,0 X 1
046,23/08/2020,11:00,Durival Britto e Silva / Curitiba,Paraná / PR,Operário / PR,0 X 0
047,03/11/2020,19:15,Bento da Silva Freitas / Pelotas,Brasil / RS,Sampaio Correa / MA,0 X 0
048,22/08/2020,16:30,Eládio de Barros Carvalho / Recife,Náutico / PE,Juventude / RS,3 X 3
049,23/08/2020,18:00,Lourival Baptista / Aracaju,Confiança / SE,Cruzeiro / MG,1 X 1
050,24/08/2020,20:00,Índio Condá / Chapeco,Chapecoense / SC,Guarani / SP,2 X 0
051,29/08/2020,19:00,Magalhães Pinto / Belo Horizonte,Cruzeiro / MG,America / MG,1 X 2
052,29/08/2020,19:00,Orlando Scarpelli / Florianopolis,Figueirense / SC,Confiança / SE,0 X 0
053,30/08/2020,19:00,Rei Pelé / Maceio,Csa / AL,Crb / AL,0 X 2
054,28/08/2020,21:30,Brinco de Ouro da Princesa / Campinas,Guarani / SP,Náutico / PE,1 X 2
055,28/08/2020,19:15,Arena Barueri / Barueri,Oeste / SP,Avaí / SC,0 X 2
056,30/08/2020,19:00,Germano Kruger / Ponta Grossa,Operário / PR,Brasil / RS,2 X 1
057,29/08/2020,11:00,Alfredo Jaconi / Caxias do Sul,Juventude / RS,Botafogo / SP,0 X 0
058,29/08/2020,16:30,Manoel Barradas / Salvador,Vitória / BA,Paraná / PR,1 X 0
059,29/08/2020,21:00,Governador João Castelo / Sao Luis,Sampaio Correa / MA,Ponte Preta / SP,1 X 2
060,28/08/2020,20:30,Arena Pantanal / Cuiaba,Cuiabá / MT,Chapecoense / SC,2 X 1
061,02/09/2020,16:30,Raimundo Sampaio / Belo Horizonte,America / MG,Csa / AL,2 X 1
062,02/09/2020,16:30,Aderbal Ramos da Silva / Florianopolis,Avaí / SC,Operário / PR,2 X 0
063,02/09/2020,19:00,Rei Pelé / Maceio,Crb / AL,Sampaio Correa / MA,2 X 2
064,31/08/2020,20:00,Brinco de Ouro da Princesa / Campinas,Guarani / SP,Oeste / SP,1 X 1
065,01/09/2020,17:00,Santa Cruz / Ribeirao Preto,Botafogo / SP,Cuiabá / MT,1 X 1
066,01/09/2020,19:15,Durival Britto e Silva / Curitiba,Paraná / PR,Ponte Preta / SP,2 X 1
067,02/09/2020,21:30,Bento da Silva Freitas / Pelotas,Brasil / RS,Cruzeiro / MG,1 X 0
068,01/09/2020,21:30,Eládio de Barros Carvalho / Recife,Náutico / PE,Figueirense / SC,1 X 0
069,01/09/2020,21:30,Lourival Baptista / Aracaju,Confiança / SE,Vitória / BA,1 X 0
070,01/09/2020,20:30,Índio Condá / Chapeco,Chapecoense / SC,Juventude / RS,1 X 0
071,07/09/2020,20:00,Magalhães Pinto / Belo Horizonte,Cruzeiro / MG,Crb / AL,1 X 1
072,04/09/2020,19:15,Orlando Scarpelli / Florianopolis,Figueirense / SC,Paraná / PR,0 X 1
