game_id,date,time,stadium,home_team,away_team,result
001,21/03/2026,19:15,Santa Cruz / Ribeirao Preto,Botafogo / SP,Fortaleza / CE,4 X 0
002,22/03/2026,20:00,Dr. Jorge Ismael de Biasi / Novo Horizonte,Gremio Novorizontino - Saf / SP,Londrina SAF / PR,1 X 3
003,22/03/2026,18:00,Estádio Joaquim Portugal  / Sao Joao del Rei,Athletic Club / MG,Ponte Preta / SP,2 X 1
004,21/03/2026,18:15,Germano Kruger / Ponta Grossa,Operário / PR,Atlético Goianiense Saf / GO,1 X 0
005,21/03/2026,18:00,Governador Plácido Aderaldo Castelo / Fortaleza,Ceará / CE,Sao Bernardo / SP,1 X 1
006,22/03/2026,18:00,Hailé Pinheiro / Goiania,Goiás / GO,América / MG,3 X 1
007,22/03/2026,16:00,Aderbal Ramos da Silva / Florianopolis,Avaí / SC,Juventude / RS,2 X 0
008,22/03/2026,16:00,Eládio de Barros Carvalho / Recife,Náutico / PE,Criciúma / SC,0 X 1
009,21/03/2026,20:30,Arena Pantanal / Cuiaba,Cuiabá Saf / MT,Sport Recife / PE,0 X 0
010,21/03/2026,17:00,Onésio Brasileiro Alvarenga / Goiania,Vila Nova / GO,Crb / AL,2 X 2
011,01/04/2026,21:00,Moisés Lucarelli / Campinas,Ponte Preta / SP,Ceará / CE,1 X 1
012,02/04/2026,19:00,1º de Maio / Sao Bernardo do Campo,Sao Bernardo / SP,Operário / PR,1 X 2
013,01/04/2026,18:00,ARENA MRV / Belo Horizonte,América / MG,Botafogo / SP,1 X 2
014,01/04/2026,19:00,Vitorino Gonçalves Dias / Londrina,Londrina SAF / PR,Goiás / GO,2 X 2
015,31/03/2026,19:00,Governador Plácido Aderaldo Castelo / Fortaleza,Fortaleza / CE,Cuiabá Saf / MT,0 X 0
016,01/04/2026,19:00,Antônio Accioly / Goiania,Atlético Goianiense Saf / GO,Náutico / PE,1 X 2
017,01/04/2026,21:30,Heriberto Hulse / Criciuma,Criciúma / SC,Athletic Club / MG,1 X 1
018,01/04/2026,19:00,Adelmar da Costa Carvalho / Recife,Sport Recife / PE,Vila Nova / GO,1 X 1
019,01/04/2026,21:30,Rei Pelé / Maceio,Crb / AL,Avaí / SC,0 X 1
020,31/03/2026,18:30,Alfredo Jaconi / Caxias do Sul,Juventude / RS,Gremio Novorizontino - Saf / SP,0 X 0
