game_id,date,time,stadium,home_team,away_team,result
001,28/04/2019,11:00,Arena do Grêmio / Porto Alegre,Grêmio / RS,Santos / SP,1 X 2
002,27/04/2019,19:00,Raimundo Sampaio / Belo Horizonte,Atlético / MG,Avaí / SC,2 X 1
003,28/04/2019,16:00,Governador Plácido Aderaldo Castelo / Fortaleza,Ceará / CE,Csa / AL,4 X 0
004,28/04/2019,19:00,Allianz Parque / Sao Paulo,Palmeiras / SP,Fortaleza / CE,4 X 0
005,27/04/2019,16:00,Cícero Pompeu de Toledo / Sao Paulo,São Paulo / SP,Botafogo / RJ,2 X 0
006,27/04/2019,21:00,Jornalista Mário Filho / Rio de Janeiro,Flamengo / RJ,Cruzeiro / MG,3 X 1
007,28/04/2019,19:00,Jornalista Mário Filho / Rio de Janeiro,Fluminense / RJ,Goiás / GO,0 X 1
008,27/04/2019,19:00,Índio Condá / Chapeco,Chapecoense / SC,Internacional / RS,2 X 0
009,28/04/2019,16:00,Octávio Mangabeira / Salvador,Bahia / BA,Corinthians / SP,3 X 2
010,28/04/2019,16:00,Joaquim Américo Guimarães / Curitiba,Athletico Paranaense / PR,Vasco da Gama / RJ,4 X 1
011,01/05/2019,16:00,José Pinheiro Borda / Porto Alegre,Internacional / RS,Flamengo / RJ,2 X 1
012,01/05/2019,19:15,Magalhães Pinto / Belo Horizonte,Cruzeiro / MG,Ceará / CE,1 X 0
013,01/05/2019,21:30,Governador Plácido Aderaldo Castelo / Fortaleza,Fortaleza / CE,Athletico Paranaense / PR,2 X 1
014,01/05/2019,16:00,Arena Corinthians / Sao Paulo,Corinthians / SP,Chapecoense / SC,1 X 0
015,02/05/2019,19:15,Urbano Caldeira / Santos,Santos / SP,Fluminense / RJ,2 X 1
016,01/05/2019,21:30,São Januário / Rio de Janeiro,Vasco da Gama / RJ,Atlético / MG,1 X 2
017,02/05/2019,20:00,Nilton Santos / Rio de Janeiro,Botafogo / RJ,Bahia / BA,3 X 2
018,01/05/2019,19:15,Aderbal Ramos da Silva / Florianopolis,Avaí / SC,Grêmio / RS,1 X 1
019,01/05/2019,21:30,Serra Dourada / Goiania,Goiás / GO,São Paulo / SP,1 X 2
020,01/05/2019,16:00,Rei Pelé / Maceio,Csa / AL,Palmeiras / SP,1 X 1
021,05/05/2019,19:00,Arena do Grêmio / Porto Alegre,Grêmio / RS,Fluminense / RJ,4 X 5
022,05/05/2019,16:00,Magalhães Pinto / Belo Horizonte,Cruzeiro / MG,Goiás / GO,2 X 1
023,04/05/2019,21:00,Governador Plácido Aderaldo Castelo / Fortaleza,Ceará / CE,Atlético / MG,1 X 2
024,04/05/2019,19:00,Allianz Parque / Sao Paulo,Palmeiras / SP,Internacional / RS,1 X 0
025,05/05/2019,16:00,Cícero Pompeu de Toledo / Sao Paulo,São Paulo / SP,Flamengo / RJ,1 X 1
026,04/05/2019,19:00,Arena da Amazônia / Manaus,Vasco da Gama / RJ,Corinthians / SP,1 X 1
027,05/05/2019,16:00,Nilton Santos / Rio de Janeiro,Botafogo / RJ,Fortaleza / CE,1 X 0
028,05/05/2019,11:00,Índio Condá / Chapeco,Chapecoense / SC,Athletico Paranaense / PR,1 X 1
029,05/05/2019,19:00,Octávio Mangabeira / Salvador,Bahia / BA,Avaí / SC,1 X 0
030,05/05/2019,16:00,Rei Pelé / Maceio,Csa / AL,Santos / SP,0 X 0
031,12/05/2019,16:00,José Pinheiro Borda / Porto Alegre,Internacional / RS,Cruzeiro / MG,3 X 1
032,12/05/2019,16:00,Magalhães Pinto / Belo Horizonte,Atlético / MG,Palmeiras / SP,0 X 2
033,12/05/2019,19:00,Governador Plácido Aderaldo Castelo / Fortaleza,Fortaleza / CE,São Paulo / SP,0 X 1
034,11/05/2019,19:00,Arena Corinthians / Sao Paulo,Corinthians / SP,Grêmio / RS,0 X 0
