game_id,date,time,stadium,home_team,away_team,result
001,14/04/2023,19:00,Brinco de Ouro da Princesa / Campinas,Guarani / SP,Avaí / SC,4 X 1
002,15/04/2023,16:00,Onésio Brasileiro Alvarenga / Goiania,Vila Nova / GO,Novorizontino / SP,2 X 1
003,16/04/2023,11:00,Heriberto Hulse / Criciuma,Criciúma / SC,Tombense / MG,2 X 0
004,14/04/2023,21:30,Novelli Junior / Itu,Ituano / SP,Ceará / CE,2 X 0
005,15/04/2023,17:00,José Maria de Campos Maia / Mirassol,Mirassol / SP,Chapecoense / SC,1 X 0
006,16/04/2023,18:00,Manoel Barradas / Salvador,Vitória / BA,Ponte Preta / SP,3 X 0
007,15/04/2023,17:00,Governador João Castelo / Sao Luis,Sampaio Corrêa / MA,Atlético / GO,3 X 3
008,15/04/2023,18:15,Alfredo Jaconi / Caxias do Sul,Juventude / RS,Botafogo / SP,1 X 2
009,16/04/2023,15:30,Jacy Scaff / Londrina,Londrina / PR,Abc / RN,1 X 0
010,05/07/2023,19:00,Rei Pelé / Maceio,Crb / AL,Sport / PE,2 X 0
011,21/04/2023,21:30,Moisés Lucarelli / Campinas,Ponte Preta / SP,Criciúma / SC,1 X 2
012,21/04/2023,16:30,Antônio Accioly / Goiania,Atlético / GO,Crb / AL,2 X 1
013,22/04/2023,16:00,Aderbal Ramos da Silva / Florianopolis,Avaí / SC,Mirassol / SP,1 X 0
014,21/04/2023,19:00,Santa Cruz / Ribeirao Preto,Botafogo / SP,Sampaio Corrêa / MA,1 X 0
015,22/04/2023,17:00,Dr. Jorge Ismael de Biasi / Novo Horizonte,Novorizontino / SP,Juventude / RS,1 X 0
016,18/06/2023,18:00,Adelmar da Costa Carvalho / Recife,Sport / PE,Vila Nova / GO,1 X 0
017,22/04/2023,18:15,Presidente Vargas / Fortaleza,Ceará / CE,Guarani / SP,0 X 3
018,23/04/2023,15:30,Índio Condá / Chapeco,Chapecoense / SC,Londrina / PR,3 X 0
019,22/04/2023,11:00,Soares de Azevedo / Muriae,Tombense / MG,Ituano / SP,3 X 0
020,23/04/2023,18:00,Maria Lamas Farache / Natal,Abc / RN,Vitória / BA,0 X 3
021,28/04/2023,21:30,Brinco de Ouro da Princesa / Campinas,Guarani / SP,Ituano / SP,1 X 0
022,30/04/2023,18:15,Onésio Brasileiro Alvarenga / Goiania,Vila Nova / GO,Juventude / RS,1 X 0
023,28/04/2023,19:00,Heriberto Hulse / Criciuma,Criciúma / SC,Avaí / SC,1 X 0
024,29/04/2023,17:00,Santa Cruz / Ribeirao Preto,Botafogo / SP,Crb / AL,2 X 0
025,30/04/2023,15:30,Dr. Jorge Ismael de Biasi / Novo Horizonte,Novorizontino / SP,Sport / PE,0 X 0
026,28/04/2023,19:00,Manoel Barradas / Salvador,Vitória / BA,Londrina / PR,2 X 0
027,29/04/2023,16:00,Governador João Castelo / Sao Luis,Sampaio Corrêa / MA,Mirassol / SP,1 X 3
028,29/04/2023,17:00,Índio Condá / Chapeco,Chapecoense / SC,Ponte Preta / SP,1 X 1
029,29/04/2023,18:15,Soares de Azevedo / Muriae,Tombense / MG,Atlético / GO,1 X 1
030,30/04/2023,18:00,Maria Lamas Farache / Natal,Abc / RN,Ceará / CE,1 X 2
031,02/05/2023,19:00,Moisés Lucarelli / Campinas,Ponte Preta / SP,Botafogo / SP,2 X 0
032,02/05/2023,21:30,Antônio Accioly / Goiania,Atlético / GO,Chapecoense / SC,2 X 1
033,03/05/2023,21:15,Aderbal Ramos da Silva / Florianopolis,Avaí / SC,Vila Nova / GO,0 X 3
034,03/05/2023,19:00,Novelli Junior / Itu,Ituano / SP,Abc / RN,3 X 0
035,03/05/2023,19:00,José Maria de Campos Maia / Mirassol,Mirassol / SP,Novorizontino / SP,0 X 2
036,10/05/2023,21:30,Adelmar da Costa Carvalho / Recife,Sport / PE,Tombense / MG,3 X 2
037,10/05/2023,19:00,Presidente Vargas / Fortaleza,Ceará / CE,Vitória / BA,0 X 2
038,03/05/2023,19:00,Alfredo Jaconi / Caxias do Sul,Juventude / RS,Guarani / SP,1 X 0
039,01/05/2023,16:00,Jacy Scaff / Londrina,Londrina / PR,Criciúma / SC,1 X 1
040,02/05/2023,19:00,Rei Pelé / Maceio,Crb / AL,Sampaio Corrêa / MA,0 X 0
041,07/05/2023,11:00,Moisés Lucarelli / Campinas,Ponte Preta / SP,Ceará / CE,0 X 0
042,08/05/2023,20:00,Antônio Accioly / Goiania,Atlético / GO,Londrina / PR,2 X 1
043,06/05/2023,16:00,Heriberto Hulse / Criciuma,Criciúma / SC,Ituano / SP,2 X 1
044,05/05/2023,21:30,Santa Cruz / Ribeirao Preto,Botafogo / SP,Vitória / BA,0 X 3
045,06/05/2023,18:15,José Maria de Campos Maia / Mirassol,Mirassol / SP,Vila Nova / GO,1 X 1
046,07/05/2023,19:00,Adelmar da Costa Carvalho / Recife,Sport / PE,Guarani / SP,2 X 0
047,06/05/2023,18:15,Governador João Castelo / Sao Luis,Sampaio Corrêa / MA,Juventude / RS,2 X 1
048,06/05/2023,20:30,Índio Condá / Chapeco,Chapecoense / SC,Novorizontino / SP,1 X 1
049,06/05/2023,18:15,Soares de Azevedo / Muriae,Tombense / MG,Avaí / SC,0 X 1
050,06/05/2023,20:30,Rei Pelé / Maceio,Crb / AL,Abc / RN,1 X 1
051,13/05/2023,17:00,Brinco de Ouro da Princesa / Campinas,Guarani / SP,Sampaio Corrêa / MA,2 X 0
052,12/05/2023,19:00,Onésio Brasileiro Alvarenga / Goiania,Vila Nova / GO,Criciúma / SC,0 X 0
053,12/05/2023,21:30,Aderbal Ramos da Silva / Florianopolis,Avaí / SC,Chapecoense / SC,1 X 4
054,14/05/2023,20:30,Novelli Junior / Itu,Ituano / SP,Sport / PE,1 X 1
055,13/05/2023,17:00,Dr. Jorge Ismael de Biasi / Novo Horizonte,Novorizontino / SP,Crb / AL,0 X 1
056,14/05/2023,18:00,Manoel Barradas / Salvador,Vitória / BA,Atlético / GO,2 X 3
057,13/05/2023,18:15,Presidente Vargas / Fortaleza,Ceará / CE,Tombense / MG,2 X 0
058,13/05/2023,16:00,Alfredo Jaconi / Caxias do Sul,Juventude / RS,Mirassol / SP,0 X 1
059,14/05/2023,15:30,Jacy Scaff / Londrina,Londrina / PR,Ponte Preta / SP,3 X 0
060,14/05/2023,18:00,Maria Lamas Farache / Natal,Abc / RN,Botafogo / SP,1 X 2
061,21/05/2023,18:00,Moisés Lucarelli / Campinas,Ponte Preta / SP,Guarani / SP,1 X 1
062,19/05/2023,21:30,Antônio Accioly / Goiania,Atlético / GO,Avaí / SC,0 X 0
063,21/05/2023,15:30,Heriberto Hulse / Criciuma,Criciúma / SC,Ceará / CE,1 X 2
064,20/05/2023,17:00,Novelli Junior / Itu,Ituano / SP,Novorizontino / SP,0 X 2
065,19/05/2023,19:00,José Maria de Campos Maia / Mirassol,Mirassol / SP,Vitória / BA,2 X 0
066,20/05/2023,16:00,Adelmar da Costa Carvalho / Recife,Sport / PE,Botafogo / SP,3 X 0
067,20/05/2023,17:00,Governador João Castelo / Sao Luis,Sampaio Corrêa / MA,Abc / RN,1 X 0
068,21/05/2023,11:00,Índio Condá / Chapeco,Chapecoense / SC,Juventude / RS,0 X 2
069,19/05/2023,19:00,Soares de Azevedo / Muriae,Tombense / MG,Londrina / PR,0 X 2
070,21/05/2023,18:15,Rei Pelé / Maceio,Crb / AL,Vila Nova / GO,0 X 3
071,24/05/2023,21:15,Brinco de Ouro da Princesa / Campinas,Guarani / SP,Chapecoense / SC,3 X 3
072,24/05/2023,19:00,Onésio Brasileiro Alvarenga / Goiania,Vila Nova / GO,Ituano / SP,1 X 0
073,24/05/2023,21:30,Heriberto Hulse / Criciuma,Criciúma / SC,Sport / PE,1 X 0
074,23/05/2023,19:00,Santa Cruz / Ribeirao Preto,Botafogo / SP,Mirassol / SP,1 X 0
075,23/05/2023,21:30,Dr. Jorge Ismael de Biasi / Novo Horizonte,Novorizontino / SP,Avaí / SC,2 X 0
076,24/05/2023,19:00,Manoel Barradas / Salvador,Vitória / BA,Crb / AL,1 X 0
077,24/05/2023,21:30,Governador João Castelo / Sao Luis,Sampaio Corrêa / MA,Ponte Preta / SP,0 X 0
078,24/05/2023,19:00,Alfredo Jaconi / Caxias do Sul,Juventude / RS,Atlético / GO,3 X 0
079,24/05/2023,19:00,Jacy Scaff / Londrina,Londrina / PR,Ceará / CE,1 X 3
080,23/05/2023,21:30,Maria Lamas Farache / Natal,Abc / RN,Tombense / MG,1 X 0
081,28/05/2023,11:00,Moisés Lucarelli / Campinas,Ponte Preta / SP,Vila Nova / GO,1 X 0
082,27/05/2023,18:00,Antônio Accioly / Goiania,Atlético / GO,Botafogo / SP,1 X 1
083,27/05/2023,17:30,Aderbal Ramos da Silva / Florianopolis,Avaí / SC,Vitória / BA,1 X 1
084,27/05/2023,17:00,Novelli Junior / Itu,Ituano / SP,Londrina / PR,3 X 1
085,28/05/2023,15:30,José Maria de Campos Maia / Mirassol,Mirassol / SP,Criciúma / SC,1 X 0
086,28/05/2023,18:00,Adelmar da Costa Carvalho / Recife,Sport / PE,Abc / RN,4 X 1
087,28/05/2023,15:30,Governador Plácido Aderaldo Castelo / Fortaleza,Ceará / CE,Novorizontino / SP,0 X 3
088,29/05/2023,20:00,Índio Condá / Chapeco,Chapecoense / SC,Sampaio Corrêa / MA,0 X 1
089,28/05/2023,18:15,Soares de Azevedo / Muriae,Tombense / MG,Guarani / SP,1 X 1
090,27/05/2023,17:00,Rei Pelé / Maceio,Crb / AL,Juventude / RS,1 X 2
091,04/06/2023,15:30,Brinco de Ouro da Princesa / Campinas,Guarani / SP,Crb / AL,0 X 1
092,03/06/2023,19:00,Onésio Brasileiro Alvarenga / Goiania,Vila Nova / GO,Sampaio Corrêa / MA,3 X 0
093,02/06/2023,21:30,Heriberto Hulse / Criciuma,Criciúma / SC,Atlético / GO,3 X 0
094,02/06/2023,19:00,Santa Cruz / Ribeirao Preto,Botafogo / SP,Tombense / MG,0 X 0
095,03/06/2023,17:00,José Maria de Campos Maia / Mirassol,Mirassol / SP,Ponte Preta / SP,1 X 0
