game_id,date,time,stadium,home_team,away_team,result
001,29/03/2025,21:00,Jornalista Mário Filho / Rio de Janeiro,Flamengo / RJ,Internacional / RS,1 X 1
002,30/03/2025,18:30,São Januário / Rio de Janeiro,Vasco da Gama S.a.f. / RJ,Santos Fc / SP,2 X 1
003,30/03/2025,16:00,Allianz Parque / Sao Paulo,Palmeiras / SP,Botafogo / RJ,0 X 0
004,29/03/2025,18:30,Cícero Pompeu de Toledo / Sao Paulo,São Paulo / SP,Sport / PE,0 X 0
005,31/03/2025,20:00,Nabi Abi Chedid / Braganca Paulista,Red Bull Bragantino / SP,Ceará / CE,2 X 2
006,29/03/2025,18:30,Magalhães Pinto / Belo Horizonte,Cruzeiro Saf / MG,Mirassol / SP,2 X 1
007,29/03/2025,18:30,Arena do Grêmio / Porto Alegre,Grêmio / RS,Atlético Mineiro Saf / MG,2 X 1
008,30/03/2025,20:00,Octávio Mangabeira / Salvador,Bahia / BA,Corinthians / SP,1 X 1
009,29/03/2025,18:30,Governador Plácido Aderaldo Castelo / Fortaleza,Fortaleza / CE,Fluminense / RJ,2 X 0
010,29/03/2025,18:30,Alfredo Jaconi / Caxias do Sul,Juventude / RS,Vitória / BA,2 X 0
011,06/04/2025,16:00,Jornalista Mário Filho / Rio de Janeiro,Fluminense / RJ,Red Bull Bragantino / SP,2 X 1
012,05/04/2025,21:00,Nilton Santos / Rio de Janeiro,Botafogo / RJ,Juventude / RS,2 X 0
013,05/04/2025,18:30,Arena Corinthians / Sao Paulo,Corinthians / SP,Vasco da Gama S.a.f. / RJ,3 X 0
014,06/04/2025,20:30,Urbano Caldeira / Santos,Santos Fc / SP,Bahia / BA,2 X 2
015,06/04/2025,18:30,José Maria de Campos Maia / Mirassol,Mirassol / SP,Fortaleza Ec Saf / CE,1 X 1
016,06/04/2025,16:00,Magalhães Pinto / Belo Horizonte,Atlético Mineiro Saf / MG,São Paulo / SP,0 X 0
017,06/04/2025,18:30,José Pinheiro Borda / Porto Alegre,Internacional / RS,Cruzeiro Saf / MG,3 X 0
018,06/04/2025,18:30,Manoel Barradas / Salvador,Vitória / BA,Flamengo / RJ,1 X 2
019,05/04/2025,18:30,Governador Plácido Aderaldo Castelo / Fortaleza,Ceará / CE,Grêmio / RS,2 X 0
020,06/04/2025,18:30,Adelmar da Costa Carvalho / Recife,Sport / PE,Palmeiras / SP,1 X 2
021,13/04/2025,19:30,Jornalista Mário Filho / Rio de Janeiro,Fluminense / RJ,Santos Fc / SP,1 X 0
022,12/04/2025,21:00,São Januário / Rio de Janeiro,Vasco da Gama S.a.f. / RJ,Sport / PE,3 X 1
023,12/04/2025,18:30,Arena Barueri / Barueri,Palmeiras / SP,Corinthians / SP,2 X 0
024,13/04/2025,17:30,Cícero Pompeu de Toledo / Sao Paulo,São Paulo / SP,Cruzeiro Saf / MG,1 X 1
025,12/04/2025,16:00,Nabi Abi Chedid / Braganca Paulista,Red Bull Bragantino / SP,Botafogo / RJ,1 X 0
026,13/04/2025,20:30,Magalhães Pinto / Belo Horizonte,Atlético Mineiro Saf / MG,Vitória / BA,2 X 2
027,13/04/2025,17:30,Arena do Grêmio / Porto Alegre,Grêmio / RS,Flamengo / RJ,0 X 2
028,13/04/2025,16:00,Octávio Mangabeira / Salvador,Bahia / BA,Mirassol / SP,1 X 1
029,13/04/2025,20:00,Governador Plácido Aderaldo Castelo / Fortaleza,Fortaleza Ec Saf / CE,Internacional / RS,0 X 0
030,12/04/2025,16:00,Alfredo Jaconi / Caxias do Sul,Juventude / RS,Ceará / CE,2 X 1
031,16/04/2025,21:30,Jornalista Mário Filho / Rio de Janeiro,Flamengo / RJ,Juventude / RS,6 X 0
032,16/04/2025,18:30,Nilton Santos / Rio de Janeiro,Botafogo / RJ,São Paulo / SP,2 X 2
033,16/04/2025,19:30,Arena Corinthians / Sao Paulo,Corinthians / SP,Fluminense / RJ,0 X 2
034,16/04/2025,21:30,Urbano Caldeira / Santos,Santos Fc / SP,Atlético Mineiro Saf / MG,2 X 0
035,16/04/2025,19:00,José Maria de Campos Maia / Mirassol,Mirassol / SP,Grêmio / RS,4 X 1
036,17/04/2025,21:30,Magalhães Pinto / Belo Horizonte,Cruzeiro Saf / MG,Bahia / BA,3 X 0
037,16/04/2025,19:30,José Pinheiro Borda / Porto Alegre,Internacional / RS,Palmeiras / SP,0 X 1
038,16/04/2025,21:30,Manoel Barradas / Salvador,Vitória / BA,Fortaleza Ec Saf / CE,2 X 1
039,15/04/2025,21:30,Governador Plácido Aderaldo Castelo / Fortaleza,Ceará / CE,Vasco da Gama S.a.f. / RJ,2 X 1
040,16/04/2025,19:00,Adelmar da Costa Carvalho / Recife,Sport / PE,Red Bull Bragantino / SP,0 X 1
041,20/04/2025,18:30,Jornalista Mário Filho / Rio de Janeiro,Fluminense / RJ,Vitória / BA,1 X 1
042,19/04/2025,18:30,Jornalista Mário Filho / Rio de Janeiro,Vasco da Gama S.a.f. / RJ,Flamengo / RJ,0 X 0
043,19/04/2025,16:00,Arena Corinthians / Sao Paulo,Corinthians / SP,Sport / PE,2 X 1
044,20/04/2025,16:00,Cícero Pompeu de Toledo / Sao Paulo,São Paulo / SP,Santos Fc / SP,2 X 1
045,20/04/2025,20:30,Nabi Abi Chedid / Braganca Paulista,Red Bull Bragantino / SP,Cruzeiro Saf / MG,1 X 0
046,20/04/2025,16:00,Magalhães Pinto / Belo Horizonte,Atlético Mineiro Saf / MG,Botafogo / RJ,1 X 0
047,19/04/2025,21:00,Arena do Grêmio / Porto Alegre,Grêmio / RS,Internacional / RS,1 X 1
048,21/04/2025,20:00,Octávio Mangabeira / Salvador,Bahia / BA,Ceará / CE,1 X 0
049,20/04/2025,18:30,Governador Plácido Aderaldo Castelo / Fortaleza,Fortaleza Ec Saf / CE,Palmeiras / SP,1 X 2
050,20/04/2025,11:00,Alfredo Jaconi / Caxias do Sul,Juventude / RS,Mirassol / SP,2 X 2
051,27/04/2025,16:00,Jornalista Mário Filho / Rio de Janeiro,Flamengo / RJ,Corinthians / SP,4 X 0
052,26/04/2025,21:00,Nilton Santos / Rio de Janeiro,Botafogo / RJ,Fluminense / RJ,2 X 0
053,27/04/2025,18:30,Allianz Parque / Sao Paulo,Palmeiras / SP,Bahia / BA,0 X 1
054,27/04/2025,20:30,Urbano Caldeira / Santos,Santos Fc / SP,Red Bull Bragantino / SP,1 X 2
055,26/04/2025,18:30,José Maria de Campos Maia / Mirassol,Mirassol / SP,Atlético Mineiro Saf / MG,2 X 2
056,27/04/2025,18:30,Parque do Sabiá / Uberlandia,Cruzeiro Saf / MG,Vasco da Gama S.a.f. / RJ,1 X 0
057,26/04/2025,16:00,José Pinheiro Borda / Porto Alegre,Internacional / RS,Juventude / RS,3 X 1
058,27/04/2025,18:30,Manoel Barradas / Salvador,Vitória / BA,Grêmio / RS,1 X 1
059,26/04/2025,18:30,Governador Plácido Aderaldo Castelo / Fortaleza,Ceará / CE,São Paulo / SP,1 X 1
060,26/04/2025,20:00,Adelmar da Costa Carvalho / Recife,Sport / PE,Fortaleza Ec Saf / CE,0 X 0
061,03/05/2025,18:30,Jornalista Mário Filho / Rio de Janeiro,Fluminense / RJ,Sport / PE,2 X 1
062,04/05/2025,16:00,Estádio Nacional Mané Garrincha / Brasilia,Vasco da Gama S.a.f. / RJ,Palmeiras / SP,0 X 1
063,03/05/2025,18:30,Arena Corinthians / Sao Paulo,Corinthians / SP,Internacional / RS,4 X 2
064,02/05/2025,21:30,Cícero Pompeu de Toledo / Sao Paulo,São Paulo / SP,Fortaleza Ec Saf / CE,0 X 0
065,05/05/2025,19:00,Estádio Municipal Cícero de Souza Marques / Braganca Paulista,Red Bull Bragantino / SP,Mirassol / SP,1 X 0
066,04/05/2025,18:30,Magalhães Pinto / Belo Horizonte,Cruzeiro Saf / MG,Flamengo / RJ,2 X 1
067,04/05/2025,16:00,Arena do Grêmio / Porto Alegre,Grêmio / RS,Santos Fc / SP,1 X 0
068,03/05/2025,21:00,Octávio Mangabeira / Salvador,Bahia / BA,Botafogo / RJ,1 X 0
069,03/05/2025,18:30,Presidente Vargas / Fortaleza,Ceará / CE,Vitória / BA,1 X 0
070,05/05/2025,20:00,Alfredo Jaconi / Caxias do Sul,Juventude / RS,Atlético Mineiro Saf / MG,0 X 1
071,10/05/2025,21:00,Jornalista Mário Filho / Rio de Janeiro,Flamengo / RJ,Bahia / BA,1 X 0
072,11/05/2025,20:00,Nilton Santos / Rio de Janeiro,Botafogo / RJ,Internacional / RS,4 X 0
073,11/05/2025,17:30,Arena Barueri / Barueri,Palmeiras / SP,São Paulo / SP,1 X 0
074,12/05/2025,20:00,Allianz Parque / Sao Paulo,Santos Fc / SP,Ceará / CE,0 X 0
075,10/05/2025,18:30,José Maria de Campos Maia / Mirassol,Mirassol / SP,Corinthians / SP,2 X 1
076,11/05/2025,17:30,ARENA MRV / Belo Horizonte,Atlético Mineiro Saf / MG,Fluminense / RJ,3 X 2
077,10/05/2025,18:30,Arena do Grêmio / Porto Alegre,Grêmio / RS,Red Bull Bragantino / SP,1 X 1
078,10/05/2025,18:30,Manoel Barradas / Salvador,Vitória / BA,Vasco da Gama S.a.f. / RJ,2 X 1
079,10/05/2025,16:00,Presidente Vargas / Fortaleza,Fortaleza Ec Saf / CE,Juventude / RS,5 X 0
080,11/05/2025,16:00,Adelmar da Costa Carvalho / Recife,Sport / PE,Cruzeiro Saf / MG,0 X 4
081,18/05/2025,18:30,Jornalista Mário Filho / Rio de Janeiro,Flamengo / RJ,Botafogo / RJ,0 X 0
082,17/05/2025,18:30,São Januário / Rio de Janeiro,Vasco da Gama S.a.f. / RJ,Fortaleza Ec Saf / CE,3 X 0
083,18/05/2025,16:00,Arena Corinthians / Sao Paulo,Corinthians / SP,Santos Fc / SP,1 X 0
084,17/05/2025,21:00,Cícero Pompeu de Toledo / Sao Paulo,São Paulo / SP,Grêmio / RS,2 X 1
085,18/05/2025,18:30,Estádio Municipal Cícero de Souza Marques / Braganca Paulista,Red Bull Bragantino / SP,Palmeiras / SP,1 X 2
086,18/05/2025,20:30,Magalhães Pinto / Belo Horizonte,Cruzeiro Saf / MG,Atlético Mineiro Saf / MG,0 X 0
087,18/05/2025,20:30,José Pinheiro Borda / Porto Alegre,Internacional / RS,Mirassol / SP,1 X 1
088,18/05/2025,16:00,Octávio Mangabeira / Salvador,Bahia / BA,Vitória / BA,2 X 1
089,17/05/2025,16:00,Governador Plácido Aderaldo Castelo / Fortaleza,Ceará / CE,Sport / PE,2 X 0
090,18/05/2025,16:00,Alfredo Jaconi / Caxias do Sul,Juventude / RS,Fluminense / RJ,1 X 1
091,24/05/2025,18:30,Jornalista Mário Filho / Rio de Janeiro,Fluminense / RJ,Vasco da Gama S.a.f. / RJ,2 X 1
092,04/06/2025,20:00,Nilton Santos / Rio de Janeiro,Botafogo / RJ,Ceará / CE,3 X 2
093,25/05/2025,16:00,Allianz Parque / Sao Paulo,Palmeiras / SP,Flamengo / RJ,0 X 2
094,24/05/2025,18:30,Cícero Pompeu de Toledo / Sao Paulo,São Paulo / SP,Mirassol / SP,0 X 2
095,26/05/2025,20:00,Estádio Municipal Cícero de Souza Marques / Braganca Paulista,Red Bull Bragantino / SP,Juventude / RS,1 X 0
096,24/05/2025,21:00,ARENA MRV / Belo Horizonte,Atlético Mineiro Saf / MG,Corinthians / SP,0 X 0
