game_id,date,time,stadium,home_team,away_team,result
001,28/01/2026,19:30,Jornalista Mário Filho / Rio de Janeiro,Fluminense / RJ,Grêmio / RS,2 X 1
002,29/01/2026,21:30,Nilton Santos / Rio de Janeiro,Botafogo / RJ,Cruzeiro Saf / MG,4 X 0
003,28/01/2026,21:30,Cícero Pompeu de Toledo / Sao Paulo,São Paulo / SP,Flamengo / RJ,2 X 1
004,28/01/2026,20:00,Urbano Caldeira / Santos,Corinthians / SP,Bahia / BA,1 X 2
005,29/01/2026,20:00,José Maria de Campos Maia / Mirassol,Mirassol / SP,Vasco da Gama Saf / RJ,2 X 1
006,28/01/2026,19:00,ARENA MRV / Belo Horizonte,Atlético Mineiro Saf / MG,Palmeiras / SP,2 X 2
007,28/01/2026,19:00,José Pinheiro Borda / Porto Alegre,Internacional / RS,Athletico Paranaense / PR,0 X 1
008,28/01/2026,19:00,Major Antônio Couto Pereira / Curitiba,Coritiba S.a.f. / PR,Red Bull Bragantino / SP,0 X 1
009,28/01/2026,19:00,Manoel Barradas / Salvador,Vitória / BA,Remo / PA,2 X 0
010,28/01/2026,20:00,Índio Condá / Chapeco,Chapecoense / SC,Santos Fc / SP,4 X 2
011,04/02/2026,19:00,Jornalista Mário Filho / Rio de Janeiro,Flamengo / RJ,Internacional / RS,1 X 1
012,05/02/2026,20:00,São Januário / Rio de Janeiro,Vasco da Gama Saf / RJ,Chapecoense / SC,1 X 1
013,04/02/2026,20:00,Urbano Caldeira / Santos,Santos Fc / SP,São Paulo / SP,1 X 1
014,04/02/2026,21:30,Arena Barueri / Barueri,Palmeiras / SP,Vitória / BA,5 X 1
015,04/02/2026,19:00,Estádio Municipal Cícero de Souza Marques / Braganca Paulista,Red Bull Bragantino / SP,Atlético Mineiro Saf / MG,1 X 0
016,05/02/2026,21:30,Magalhães Pinto / Belo Horizonte,Cruzeiro Saf / MG,Coritiba S.a.f. / PR,1 X 2
017,04/02/2026,21:30,Arena do Grêmio / Porto Alegre,Grêmio / RS,Botafogo / RJ,5 X 3
018,19/02/2026,19:30,Estádio Mario Celso Petraglia / Curitiba,Athletico Paranaense / PR,Corinthians / SP,0 X 1
019,05/02/2026,19:00,Octávio Mangabeira / Salvador,Bahia / BA,Fluminense / RJ,1 X 1
020,04/02/2026,20:00,Olímpico do Pará / Belem,Remo / PA,Mirassol / SP,2 X 2
021,12/02/2026,19:30,Jornalista Mário Filho / Rio de Janeiro,Fluminense / RJ,Botafogo / RJ,1 X 0
022,11/02/2026,21:30,São Januário / Rio de Janeiro,Vasco da Gama Saf / RJ,Bahia / BA,0 X 1
023,11/02/2026,21:30,Cícero Pompeu de Toledo / Sao Paulo,São Paulo / SP,Grêmio / RS,2 X 0
024,12/02/2026,20:00,Arena Corinthians / Sao Paulo,Corinthians / SP,Red Bull Bragantino / SP,2 X 0
025,11/02/2026,19:00,José Maria de Campos Maia / Mirassol,Mirassol / SP,Cruzeiro / MG,2 X 2
026,11/02/2026,20:00,ARENA MRV / Belo Horizonte,Atlético Mineiro / MG,Remo / PA,3 X 3
027,12/02/2026,21:30,José Pinheiro Borda / Porto Alegre,Internacional / RS,Palmeiras / SP,1 X 3
028,12/02/2026,19:00,Estádio Mario Celso Petraglia / Curitiba,Athletico Paranaense / PR,Santos Fc / SP,2 X 1
029,10/02/2026,21:30,Manoel Barradas / Salvador,Vitória / BA,Flamengo / RJ,1 X 2
030,11/02/2026,19:00,Índio Condá / Chapeco,Chapecoense / SC,Coritiba S.a.f. / PR,3 X 3
033,26/02/2026,19:00,Urbano Caldeira / Santos,Santos Fc / SP,Vasco da Gama Saf / RJ,2 X 1
034,25/02/2026,21:30,Arena Barueri / Barueri,Palmeiras / SP,Fluminense / RJ,2 X 1
035,25/02/2026,19:00,Estádio Municipal Cícero de Souza Marques / Braganca Paulista,Red Bull Bragantino / SP,Athletico Paranaense / PR,1 X 1
036,25/02/2026,20:00,Magalhães Pinto / Belo Horizonte,Cruzeiro / MG,Corinthians / SP,1 X 1
037,25/02/2026,21:30,Arena do Grêmio / Porto Alegre,Grêmio / RS,Atlético Mineiro / MG,2 X 1
038,25/02/2026,19:30,Major Antônio Couto Pereira / Curitiba,Coritiba SAF / PR,São Paulo / SP,0 X 1
039,17/07/2026,19:30,Octávio Mangabeira / Salvador,Bahia / BA,Chapecoense / SC,2 X 0
040,25/02/2026,19:00,Olímpico do Pará / Belem,Remo / PA,Internacional / RS,1 X 1
041,11/03/2026,21:30,Jornalista Mário Filho / Rio de Janeiro,Flamengo / RJ,Cruzeiro / MG,2 X 0
042,12/03/2026,19:30,São Januário / Rio de Janeiro,Vasco da Gama Saf / RJ,Palmeiras / SP,2 X 1
043,12/03/2026,20:00,Oswaldo Teixeira Duarte / Sao Paulo,São Paulo / SP,Chapecoense / SC,2 X 0
044,11/03/2026,21:30,Arena Corinthians / Sao Paulo,Corinthians / SP,Coritiba SAF / PR,0 X 2
045,10/03/2026,21:30,José Maria de Campos Maia / Mirassol,Mirassol / SP,Santos Fc / SP,2 X 2
046,11/03/2026,19:00,ARENA MRV / Belo Horizonte,Atlético Mineiro / MG,Internacional / RS,1 X 0
047,12/03/2026,21:30,Arena do Grêmio / Porto Alegre,Grêmio / RS,Red Bull Bragantino / SP,1 X 1
